DNA Pattern Finder Report
Source file: BRCA1_FASTA.txt

Sequence length: 126033 bases
A: 35147    C: 27208    G: 28369    T: 35309
GC content: 44.1%

Last motif searched: (none)
Motif occurrences: n/a

Number of ORFs found (forward strand): 1891
1) start: 251, stop: 460, length: 210 bases
2) start: 306, stop: 314, length: 9 bases
3) start: 336, stop: 362, length: 27 bases
4) start: 609, stop: 638, length: 30 bases
5) start: 657, stop: 713, length: 57 bases
6) start: 669, stop: 713, length: 45 bases
7) start: 817, stop: 981, length: 165 bases
8) start: 838, stop: 981, length: 144 bases
9) start: 870, stop: 1034, length: 165 bases
10) start: 917, stop: 952, length: 36 bases
11) start: 1168, stop: 1281, length: 114 bases
12) start: 1176, stop: 1256, length: 81 bases
13) start: 1209, stop: 1256, length: 48 bases
14) start: 1323, stop: 1364, length: 42 bases
15) start: 1338, stop: 1364, length: 27 bases
16) start: 1361, stop: 1405, length: 45 bases
17) start: 1441, stop: 1593, length: 153 bases
18) start: 1562, stop: 1567, length: 6 bases
19) start: 1728, stop: 1736, length: 9 bases
20) start: 1816, stop: 1854, length: 39 bases
21) start: 1826, stop: 1894, length: 69 bases
22) start: 1992, stop: 2003, length: 12 bases
23) start: 2000, stop: 2020, length: 21 bases
24) start: 2038, stop: 2049, length: 12 bases
25) start: 2049, stop: 2057, length: 9 bases
26) start: 2116, stop: 2220, length: 105 bases
27) start: 2125, stop: 2220, length: 96 bases
28) start: 2130, stop: 2162, length: 33 bases
29) start: 2198, stop: 2230, length: 33 bases
30) start: 2211, stop: 2240, length: 30 bases
31) start: 2217, stop: 2240, length: 24 bases
32) start: 2256, stop: 2282, length: 27 bases
33) start: 2324, stop: 2455, length: 132 bases
34) start: 2505, stop: 2516, length: 12 bases
35) start: 2520, stop: 2555, length: 36 bases
36) start: 2524, stop: 2622, length: 99 bases
37) start: 2624, stop: 2632, length: 9 bases
38) start: 2661, stop: 2696, length: 36 bases
39) start: 2713, stop: 2784, length: 72 bases
40) start: 2790, stop: 2942, length: 153 bases
41) start: 2836, stop: 2913, length: 78 bases
42) start: 2874, stop: 2942, length: 69 bases
43) start: 3015, stop: 3029, length: 15 bases
44) start: 3115, stop: 3228, length: 114 bases
45) start: 3122, stop: 3142, length: 21 bases
46) start: 3266, stop: 3352, length: 87 bases
47) start: 3279, stop: 3302, length: 24 bases
48) start: 3394, stop: 3402, length: 9 bases
49) start: 3409, stop: 3507, length: 99 bases
50) start: 3514, stop: 3552, length: 39 bases
51) start: 3762, stop: 3812, length: 51 bases
52) start: 3799, stop: 3828, length: 30 bases
53) start: 3809, stop: 3973, length: 165 bases
54) start: 3913, stop: 3933, length: 21 bases
55) start: 4426, stop: 4476, length: 51 bases
56) start: 4437, stop: 4493, length: 57 bases
57) start: 4503, stop: 4535, length: 33 bases
58) start: 4572, stop: 4646, length: 75 bases
59) start: 4640, stop: 4669, length: 30 bases
60) start: 4758, stop: 4766, length: 9 bases
61) start: 4775, stop: 4936, length: 162 bases
62) start: 4784, stop: 4936, length: 153 bases
63) start: 4819, stop: 4824, length: 6 bases
64) start: 4851, stop: 4865, length: 15 bases
65) start: 4914, stop: 4970, length: 57 bases
66) start: 4983, stop: 5075, length: 93 bases
67) start: 5163, stop: 5177, length: 15 bases
68) start: 5191, stop: 5211, length: 21 bases
69) start: 5297, stop: 5302, length: 6 bases
70) start: 5304, stop: 5336, length: 33 bases
71) start: 5445, stop: 5486, length: 42 bases
72) start: 5501, stop: 5515, length: 15 bases
73) start: 5653, stop: 5802, length: 150 bases
74) start: 5701, stop: 5802, length: 102 bases
75) start: 5856, stop: 5960, length: 105 bases
76) start: 6032, stop: 6037, length: 6 bases
77) start: 6045, stop: 6053, length: 9 bases
78) start: 6090, stop: 6116, length: 27 bases
79) start: 6186, stop: 6482, length: 297 bases
80) start: 6205, stop: 6222, length: 18 bases
81) start: 6211, stop: 6222, length: 12 bases
82) start: 6224, stop: 6388, length: 165 bases
83) start: 6268, stop: 6318, length: 51 bases
84) start: 6280, stop: 6318, length: 39 bases
85) start: 6340, stop: 6357, length: 18 bases
86) start: 6395, stop: 6520, length: 126 bases
87) start: 6492, stop: 6557, length: 66 bases
88) start: 6543, stop: 6557, length: 15 bases
89) start: 6608, stop: 6679, length: 72 bases
90) start: 6764, stop: 6793, length: 30 bases
